lemma,compound,occurences,mean_kids,mean_kids_uniq,median_kids,median_kids_uniq,min_kids,min_kids_uniq,max_kids,max_kids_uniq,stdev_kids,stdev_kids_uniq,pstdev_kids,pstdev_kids_uniq
selgitama,,1899,1.56,1.53,1.0,1.0,0,0,6,5,0.85,0.81,0.85,0.81
sobima,,1893,2.39,2.26,2.0,2.0,0,0,6,6,1.12,1.01,1.12,1.01
suurenema,,1819,2.39,2.27,2.0,2.0,0,0,7,7,1.38,1.26,1.38,1.26
tõstma,,1814,2.79,2.67,3.0,3.0,0,0,8,8,1.1,1.01,1.1,1.01
mõistma,,1813,2.31,2.18,2.0,2.0,0,0,7,7,1.23,1.09,1.22,1.09
kaotama,,1812,2.67,2.54,3.0,3.0,0,0,8,7,1.26,1.14,1.26,1.14
osutuma,,1801,2.68,2.6,3.0,3.0,0,0,8,7,1.01,0.92,1.01,0.92
järgnema,,1784,1.9,1.84,2.0,2.0,0,0,5,5,1.01,0.95,1.01,0.95
mööduma,,1775,0.97,0.94,0.0,0.0,0,0,6,6,1.26,1.2,1.26,1.2
sõnama,,1753,1.33,1.31,1.0,1.0,0,0,5,5,0.67,0.62,0.67,0.62
nimetama,,1750,3.12,2.98,3.0,3.0,0,0,7,7,0.96,0.87,0.96,0.87
muutma,,1736,3.03,2.93,3.0,3.0,0,0,7,6,1.03,0.96,1.03,0.96
toetama,,1736,2.44,2.36,2.0,2.0,0,0,7,6,0.94,0.87,0.94,0.87
liikuma,,1718,2.54,2.38,2.0,2.0,0,0,7,6,1.15,1.03,1.15,1.03
hoidma,,1711,3.02,2.87,3.0,3.0,0,0,7,6,1.12,1.0,1.12,1.0
ilmnema,,1702,2.0,1.92,2.0,2.0,0,0,5,5,1.07,1.0,1.07,1.0
üritama,,1663,2.2,2.15,2.0,2.0,0,0,6,6,0.98,0.91,0.98,0.91
naerma,,1641,1.45,1.39,1.0,1.0,0,0,6,5,0.93,0.84,0.93,0.84
jätkuma,,1617,2.19,2.08,2.0,2.0,0,0,7,6,1.09,0.97,1.09,0.97
armastama,,1609,2.28,2.18,2.0,2.0,0,0,7,6,0.98,0.86,0.98,0.86
märkama,,1600,2.42,2.33,2.0,2.0,0,0,7,7,1.06,0.97,1.06,0.97
avaldama,,1597,2.88,2.79,3.0,3.0,0,0,7,7,1.06,0.99,1.06,0.99
kutsuma,,1594,2.85,2.7,3.0,3.0,0,0,9,8,1.26,1.14,1.26,1.14
viitama,,1582,2.42,2.35,2.0,2.0,0,0,7,6,0.86,0.78,0.86,0.78
kujunema,,1579,2.37,2.3,2.0,2.0,0,0,6,6,1.01,0.95,1.01,0.95
õnnestuma,,1566,1.52,1.41,1.0,1.0,0,0,7,6,1.0,0.89,1.0,0.89
saabuma,,1550,2.38,2.28,2.0,2.0,0,0,7,6,1.18,1.1,1.18,1.1
osalema,,1536,2.34,2.2,2.0,2.0,0,0,8,7,1.09,0.97,1.09,0.97
vähenema,,1535,2.42,2.32,2.0,2.0,0,0,7,7,1.14,1.06,1.14,1.06
ostma,,1527,2.63,2.51,3.0,2.0,0,0,7,7,1.23,1.16,1.22,1.16
tegelema,,1520,2.48,2.4,2.0,2.0,0,0,6,6,0.97,0.88,0.97,0.88
lõppema,,1512,2.01,1.93,2.0,2.0,0,0,6,5,0.95,0.86,0.95,0.86
avama,,1511,2.57,2.45,2.0,2.0,0,0,9,8,1.21,1.1,1.21,1.1
lööma,,1511,2.82,2.69,3.0,3.0,0,0,10,8,1.21,1.09,1.21,1.09
tõmbama,,1501,2.81,2.69,3.0,3.0,0,0,7,6,1.14,1.06,1.14,1.06
põhjustama,,1498,2.53,2.46,2.0,2.0,0,0,6,6,0.92,0.85,0.92,0.85
uurima,,1496,2.09,2.01,2.0,2.0,0,0,8,6,1.05,0.95,1.04,0.95
kavatsema,,1492,2.29,2.24,2.0,2.0,0,0,6,5,0.92,0.85,0.92,0.85
kostma,,1477,1.97,1.89,2.0,2.0,0,0,7,6,0.86,0.78,0.86,0.78
juhtima,,1475,2.63,2.54,3.0,2.0,0,0,11,7,0.98,0.92,0.98,0.92
soovitama,,1468,2.3,2.24,2.0,2.0,0,0,6,6,1.03,0.96,1.03,0.96
lahkuma,,1457,2.15,2.08,2.0,2.0,0,0,7,5,1.21,1.14,1.21,1.14
õppima,,1454,2.41,2.29,2.0,2.0,0,0,7,6,1.14,1.01,1.14,1.01
iseloomustama,,1425,2.38,2.3,2.0,2.0,0,0,6,5,0.75,0.71,0.75,0.7
seletama,,1411,1.84,1.79,2.0,2.0,0,0,6,5,1.0,0.94,1.0,0.94
kirjeldama,,1410,2.46,2.37,2.0,2.0,0,0,6,6,0.99,0.9,0.99,0.9
mõjuma,,1393,2.36,2.17,2.0,2.0,0,0,6,6,1.29,1.14,1.29,1.14
pääsema,,1382,2.58,2.45,2.0,2.0,0,0,7,6,1.11,1.0,1.11,1.0
kestma,,1361,2.05,1.97,2.0,2.0,0,0,6,5,0.96,0.87,0.96,0.87
koosnema,,1346,2.26,2.21,2.0,2.0,0,0,5,5,0.67,0.62,0.67,0.62
valima,,1345,2.63,2.53,3.0,2.0,0,0,8,7,1.12,1.04,1.12,1.04
puudutama,,1339,2.48,2.37,2.0,2.0,0,0,6,5,0.87,0.76,0.87,0.76
kuluma,,1322,2.35,2.25,2.0,2.0,0,0,8,6,1.22,1.13,1.22,1.13
jooksma,,1305,2.31,2.22,2.0,2.0,0,0,6,6,1.13,1.05,1.13,1.05
täitma,,1294,2.58,2.5,2.0,2.0,0,0,7,6,0.94,0.87,0.94,0.87
hindama,,1292,2.65,2.54,3.0,3.0,0,0,7,6,1.13,1.04,1.13,1.04
kõlama,,1292,2.16,1.98,2.0,2.0,0,0,7,7,1.02,0.87,1.02,0.87
haarama,,1280,2.64,2.56,3.0,3.0,0,0,7,6,1.0,0.94,1.0,0.94
rõhutama,,1271,2.23,2.17,2.0,2.0,0,0,7,6,0.93,0.85,0.93,0.85
kehtima,,1265,2.36,2.26,2.0,2.0,0,0,6,6,0.93,0.83,0.93,0.83
naeratama,,1253,1.52,1.45,1.0,1.0,0,0,6,5,0.94,0.86,0.94,0.86
viskama,,1243,2.68,2.54,3.0,2.0,0,0,8,7,1.16,1.07,1.16,1.07
näima,,1233,1.25,1.19,1.0,1.0,0,0,6,6,1.21,1.13,1.21,1.13
eeldama,,1195,2.39,2.34,2.0,2.0,0,0,6,5,0.83,0.77,0.83,0.77
tulema,välja,1182,1.82,1.69,2.0,2.0,0,0,7,6,1.27,1.15,1.27,1.15
sööma,,1158,2.01,1.91,2.0,2.0,0,0,7,6,1.19,1.1,1.19,1.09
valitsema,,1156,2.28,2.18,2.0,2.0,0,0,6,5,0.89,0.81,0.89,0.81
teenima,,1153,2.79,2.64,3.0,3.0,0,0,8,6,1.17,1.06,1.17,1.06
heitma,,1147,2.78,2.65,3.0,3.0,0,0,8,6,1.08,1.0,1.08,1.0
ületama,,1141,2.85,2.74,3.0,3.0,0,0,7,6,1.03,0.95,1.03,0.95
tegutsema,,1118,2.31,2.2,2.0,2.0,0,0,8,6,1.07,0.97,1.07,0.97
nentima,,1113,1.51,1.5,1.0,1.0,0,0,6,5,0.75,0.73,0.75,0.73
kujutama,,1094,3.09,2.99,3.0,3.0,0,0,7,7,0.99,0.92,0.99,0.92
pöörduma,,1090,2.58,2.49,3.0,2.0,0,0,7,7,1.13,1.05,1.13,1.05
sundima,,1083,2.35,2.3,2.0,2.0,0,0,7,6,0.87,0.81,0.87,0.81
kuulama,,1076,1.98,1.89,2.0,2.0,0,0,6,6,1.11,1.02,1.11,1.02
tabama,,1070,2.73,2.6,3.0,3.0,0,0,7,7,1.09,0.99,1.09,0.99
kukkuma,,1069,2.28,2.17,2.0,2.0,0,0,7,6,1.16,1.08,1.16,1.07
erinema,,1067,2.83,2.71,3.0,3.0,0,0,7,6,0.94,0.83,0.94,0.83
jooma,,1066,1.99,1.88,2.0,2.0,0,0,6,6,1.24,1.14,1.24,1.14
jälgima,,1062,2.47,2.37,2.0,2.0,0,0,8,5,1.1,0.98,1.1,0.98
helistama,,1055,2.12,2.01,2.0,2.0,0,0,7,7,1.15,1.06,1.15,1.06
olema,nõus,1051,2.2,2.14,2.0,2.0,0,0,7,6,0.97,0.91,0.97,0.91
meenuma,,1044,2.18,2.07,2.0,2.0,0,0,6,5,1.06,0.94,1.05,0.94
kohtuma,,1042,2.59,2.44,3.0,2.0,0,0,8,6,1.17,1.05,1.17,1.05
magama,,1041,1.98,1.82,2.0,2.0,0,0,6,5,1.07,0.93,1.07,0.93
pärinema,,1036,2.34,2.22,2.0,2.0,0,0,6,5,0.81,0.69,0.81,0.69
korraldama,,1030,3.05,2.9,3.0,3.0,0,0,8,7,1.27,1.16,1.27,1.16
püsima,,1024,2.64,2.5,3.0,2.0,0,0,8,6,1.07,0.97,1.07,0.97
põhinema,,1021,2.18,2.11,2.0,2.0,0,0,5,5,0.77,0.69,0.77,0.69
määrama,,1018,2.75,2.62,3.0,2.0,0,0,7,6,1.09,0.99,1.09,0.99
tulenema,,1015,2.33,2.26,2.0,2.0,0,0,6,5,0.76,0.69,0.76,0.69
levima,,1009,1.99,1.89,2.0,2.0,0,0,6,6,1.19,1.1,1.19,1.1
käsitlema,,987,2.53,2.42,2.0,2.0,0,0,6,6,0.96,0.87,0.96,0.87
avastama,,984,2.54,2.42,2.0,2.0,0,0,7,6,1.16,1.05,1.16,1.05
ulatuma,,984,2.62,2.54,2.0,2.0,0,0,7,6,1.0,0.91,1.0,0.91
tasuma,,982,1.41,1.28,1.0,1.0,0,0,6,6,1.2,1.11,1.2,1.1
lendama,,979,2.51,2.39,2.0,2.0,0,0,8,7,1.2,1.1,1.2,1.1
viibima,,978,2.64,2.43,3.0,2.0,0,0,7,6,1.21,1.07,1.21,1.06
hüüdma,,976,1.69,1.63,2.0,2.0,0,0,8,7,1.05,0.97,1.05,0.97
